condition,family,candidate_index,alpha,Q_mV,b_BV_mV_dec,n_curves,n_points,x_min,x_max,mean_inverse_beta,median_R_ohm_cm2,median_RMSE_mV
acid,A1,15366,0.99,0.3981071705534973,29.878459437783764,13,306,0.504605060564698,317.48674625016605,1.6394336578202517,0.5115581370574948,3.2286803630382033
acid,A2,15372,0.99,0.7943282347242822,29.878459437783764,12,263,0.4808988870376825,161.33917579766063,0.8336748245595779,0.5921417932461415,2.096953943985855
acid,A3,15379,0.99,1.7782794100389228,29.878459437783764,16,348,0.1583743166638314,78.015218375764,0.3794296751281056,0.6845247789419564,2.5872616664515213
acid,A4,13205,0.85,5.623413251903491,34.799617462830504,18,374,0.09529236026715215,26.000760432945707,0.14451958647386265,0.6189594525263309,1.7965288504318522
