alkaline_pm_branch,n_rows,n_cases,median_delta_eta10_mV,median_delta_eta50_mV,median_gap_mV
both_better,89,62,-17.049124993508844,-48.79169022046355,-28.819978813892888
remaining_alkaline_pm,33,25,24.035594250523992,24.808609458333606,4.055434286989339
