figure6_group,n_rows,n_cases,slope_median,slope_q025,slope_q975,intercept_median_mV,intercept_q025_mV,intercept_q975_mV,sigma_median_mV
Acidic non-PM,78,28,1.041050158156613,0.9661846363664419,1.1157178203506668,18.303568617392443,7.942511170223405,28.53072578151996,26.830722866997696
Alkaline non-PM,130,71,1.0965144608830302,1.018285348724486,1.1744600489251409,6.560910188862321,-2.7966035087097496,15.910190551138696,34.73255006340679
Acidic PM,65,39,1.2524999448813978,1.1729620128343905,1.3317323124212865,-3.531666741794414,-10.449600104199902,3.4308137725325865,25.573137744012023
Alkaline PM,122,78,1.5011352449142348,1.3730677888658134,1.6307298198181812,-24.141151167385143,-29.347891288431608,-18.964712045420626,29.03839632158042
