session_id,source_jsonl,source_size_bytes,source_sha256,jsonl_line_count,rendered_message_count,embedded_image_count,linked_local_image_reference_count,linked_local_image_unique_count,missing_local_image_ref_count,html_transcript,markdown_transcript
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,[CODEX_SESSION_LOGS]\2026\05\24\rollout-2026-05-24T23-28-11-019e5a99-d4b4-7b33-9c00-74b8d0f6c184.jsonl,232557230,f457f4d00a50630f699964ff9e5953dd96d572557dafd89c1a674f75ec497f58,18292,2727,8,190,136,0,rendered_transcripts\019e5a99-d4b4-7b33-9c00-74b8d0f6c184.html,rendered_transcripts\019e5a99-d4b4-7b33-9c00-74b8d0f6c184.md
019eb222-0283-7721-a3de-1c69905a9035,[CODEX_SESSION_LOGS]\2026\06\10\rollout-2026-06-10T23-23-53-019eb222-0283-7721-a3de-1c69905a9035.jsonl,276379195,ac26ee29b42da164dfc0e921a06e8c2327dd2ef830761a29438a76bdb1f857c7,16175,2474,2,144,89,0,rendered_transcripts\019eb222-0283-7721-a3de-1c69905a9035.html,rendered_transcripts\019eb222-0283-7721-a3de-1c69905a9035.md
