panel_uid,source_record_id,source_doi,source_doi_url,figure_id,panel_id,axis,chosen_model,usable_for_downstream,confidence,raw_anchor_count,parsed_anchor_count,normalized_rmse,slope,intercept,manual_review_recommended
batch0/case8/figure_3__panel_a,batch0/case8,10.1002/adma.202411134,https://doi.org/10.1002/adma.202411134,figure_3,a,x,linear,yes,0.978,4,4,0.0007710579232757676,482.99999999999994,427.4,False
batch0/case8/figure_3__panel_a,batch0/case8,10.1002/adma.202411134,https://doi.org/10.1002/adma.202411134,figure_3,a,y,linear,yes,0.9688,6,6,0.0010920966923075935,-0.273,53.83333333333334,False
batch0/case9/figure_3__panel_a,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,figure_3,a,x,linear,yes,0.9816,6,6,0.0006443280912854285,742.5714285714284,443.1428571428571,False
batch0/case9/figure_3__panel_a,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,figure_3,a,y,linear,yes,0.9753,5,5,0.0008655440787219587,-1.414,10.199999999999989,False
batch0/case9/figure_3__panel_f,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,figure_3,f,x,linear,yes,0.9737,7,7,0.000920858587425618,1239.2857142857142,445.75,False
batch0/case9/figure_3__panel_f,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,figure_3,f,y,linear,yes,0.9737,5,5,0.0009208608055575858,-1.33,21.19999999999999,False
batch0/case10/figure_4__panel_a,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,a,x,linear,yes,0.9793,5,5,0.0007247011073323013,1690.0,408.8,False
batch0/case10/figure_4__panel_a,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,a,y,linear,yes,0.9729,6,6,0.0009485941343923646,-2.5228571428571427,25.85714285714286,False
batch0/case10/figure_4__panel_b,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,b,x,linear,yes,0.9792,5,5,0.0007268515557220319,1685.9999999999998,423.0,False
batch0/case10/figure_4__panel_b,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,b,y,linear,yes,0.9679,6,6,0.0011223828084044173,-2.507142857142857,26.47619047619048,False
batch0/case10/figure_4__panel_c,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,c,x,linear,yes,0.9852,6,6,0.0005177501772974364,696.0971428571428,419.707619047619,False
batch0/case10/figure_4__panel_c,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,figure_4,c,y,linear,yes,0.9781,7,7,0.0007663840004340704,-4.070178571428571,33.866071428571445,False
batch0/case11/figure_9__panel_a,batch0/case11,10.1002/adma.202418527,https://doi.org/10.1002/adma.202418527,figure_9,a,x,linear,yes,0.9853,4,4,0.0005138110295545842,1776.9999999999998,637.3,False
batch0/case11/figure_9__panel_a,batch0/case11,10.1002/adma.202418527,https://doi.org/10.1002/adma.202418527,figure_9,a,y,linear,yes,0.9902,5,5,0.000343514729546649,-11.779,17.980000000000018,False
batch0/case12/figure_3__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,figure_3,a,x,linear,yes,0.962,5,5,0.001330138104759413,945.3999999999997,242.4,False
batch0/case12/figure_3__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,figure_3,a,y,linear,yes,1.0,5,5,0.0,-7.6,11.0,False
batch0/case12/figure_4__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,figure_4,a,x,linear,yes,0.9797,5,5,0.0007108886830902937,1443.3,385.23999999999995,False
batch0/case12/figure_4__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,figure_4,a,y,linear,yes,0.9831,4,4,0.0005902182731736536,-15.47,12.199999999999989,False
batch0/case13/figure_2__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_2,a,x,linear,yes,0.9854,3,3,0.0005109382449076181,1006.4285714285712,480.5,False
batch0/case13/figure_2__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_2,a,y,linear,yes,0.9734,6,6,0.0009305457361174937,-2.8385714285714285,56.904761904761926,False
batch0/case13/figure_3__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,a,x,linear,yes,1.0,6,6,1.0313879366242746e-16,674.9999999999999,419.0,False
batch0/case13/figure_3__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,a,y,linear,yes,0.9819,6,6,0.0006323336571937001,-2.712142857142857,45.47619047619048,False
batch0/case13/figure_3__panel_b,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,b,x,linear,yes,0.9552,6,6,0.0015683975611712996,336.21428571428567,463.19047619047615,False
batch0/case13/figure_3__panel_b,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,b,y,linear,yes,0.9871,5,5,0.00045193537689728247,-0.33875,47.900000000000006,False
batch0/case13/figure_3__panel_e,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,e,x,linear,yes,0.9692,7,7,0.0010791575690143648,561.4285714285713,453.9285714285714,False
batch0/case13/figure_3__panel_e,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,e,y,linear,yes,0.9765,6,6,0.0008235977817678549,-108.6,103.80000000000001,False
batch0/case13/figure_3__panel_h,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,h,x,linear,yes,0.9271,5,5,0.0025514935203076222,91.275,163.87,False
batch0/case13/figure_3__panel_h,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,figure_3,h,y,linear,yes,0.9081,6,6,0.003216915894519543,-0.10595714285714286,37.16285714285715,False
