parameter,n,min,p05,q25,median,q75,p95,max
bvir_b_tafel_mV_dec,2351,29.88384329186393,29.88384329186393,44.50966190520696,71.94787428893444,109.24228144220172,193.5189675914123,2958.500485894528
bvir_r_mV_per_mA,2351,1.6239441291073173e-30,7.271071636254128e-21,0.16455545175701067,0.4946707376062884,1.1381827625799568,3.039157447368007,15.72022198016399
bvir_j0_mA,2351,7.107798171986016e-08,0.004442910214457697,0.2844492390719997,1.603328810864229,4.957560212740127,20.88385789547183,244.06549773234198
