parameter,left,right,count,percent
bvir_r_mV_per_mA,3.8000000000000003,3.9000000000000004,7,0.2977456401531263
bvir_r_mV_per_mA,3.9000000000000004,4.0,5,0.2126754572522331
bvir_r_mV_per_mA,4.0,4.1000000000000005,4,0.1701403658017865
bvir_r_mV_per_mA,4.1000000000000005,4.2,1,0.04253509145044662
bvir_r_mV_per_mA,4.2,4.3,1,0.04253509145044662
bvir_r_mV_per_mA,4.3,4.4,3,0.12760527435133986
bvir_r_mV_per_mA,4.4,4.5,4,0.1701403658017865
bvir_r_mV_per_mA,4.5,4.6000000000000005,0,0.0
bvir_r_mV_per_mA,4.6000000000000005,4.7,2,0.08507018290089324
bvir_r_mV_per_mA,4.7,4.800000000000001,2,0.08507018290089324
bvir_r_mV_per_mA,4.800000000000001,4.9,1,0.04253509145044662
bvir_r_mV_per_mA,4.9,5.0,0,0.0
bvir_j0_mA,1e-08,1.7782794100389228e-08,0,0.0
bvir_j0_mA,1.7782794100389228e-08,3.162277660168379e-08,0,0.0
bvir_j0_mA,3.162277660168379e-08,5.6234132519034905e-08,0,0.0
bvir_j0_mA,5.6234132519034905e-08,1e-07,1,0.04253509145044662
bvir_j0_mA,1e-07,1.7782794100389227e-07,0,0.0
bvir_j0_mA,1.7782794100389227e-07,3.162277660168379e-07,1,0.04253509145044662
bvir_j0_mA,3.162277660168379e-07,5.62341325190349e-07,1,0.04253509145044662
bvir_j0_mA,5.62341325190349e-07,1e-06,2,0.08507018290089324
bvir_j0_mA,1e-06,1.778279410038923e-06,0,0.0
bvir_j0_mA,1.778279410038923e-06,3.162277660168379e-06,1,0.04253509145044662
bvir_j0_mA,3.162277660168379e-06,5.623413251903491e-06,2,0.08507018290089324
bvir_j0_mA,5.623413251903491e-06,1e-05,7,0.2977456401531263
bvir_j0_mA,1e-05,1.778279410038923e-05,3,0.12760527435133986
bvir_j0_mA,1.778279410038923e-05,3.1622776601683795e-05,5,0.2126754572522331
bvir_j0_mA,3.1622776601683795e-05,5.623413251903491e-05,7,0.2977456401531263
bvir_j0_mA,5.623413251903491e-05,0.0001,4,0.1701403658017865
bvir_j0_mA,0.0001,0.00017782794100389227,8,0.340280731603573
bvir_j0_mA,0.00017782794100389227,0.00031622776601683794,5,0.2126754572522331
bvir_j0_mA,0.00031622776601683794,0.0005623413251903491,11,0.46788600595491275
bvir_j0_mA,0.0005623413251903491,0.001,15,0.6380263717566993
bvir_j0_mA,0.001,0.0017782794100389228,15,0.6380263717566993
bvir_j0_mA,0.0017782794100389228,0.0031622776601683794,16,0.680561463207146
bvir_j0_mA,0.0031622776601683794,0.005623413251903491,29,1.233517652062952
bvir_j0_mA,0.005623413251903491,0.01,21,0.8932369204593791
bvir_j0_mA,0.01,0.01778279410038923,33,1.4036580178647384
bvir_j0_mA,0.01778279410038923,0.03162277660168379,47,1.999149298170991
bvir_j0_mA,0.03162277660168379,0.05623413251903491,68,2.89238621863037
bvir_j0_mA,0.05623413251903491,0.1,94,3.998298596341982
bvir_j0_mA,0.1,0.1778279410038923,81,3.445342407486176
bvir_j0_mA,0.1778279410038923,0.31622776601683794,133,5.6571671629094
bvir_j0_mA,0.31622776601683794,0.5623413251903491,155,6.592939174819226
bvir_j0_mA,0.5623413251903491,1.0,217,9.230114844746916
bvir_j0_mA,1.0,1.7782794100389228,234,9.953211399404509
bvir_j0_mA,1.7782794100389228,3.1622776601683795,329,13.994045087196938
bvir_j0_mA,3.1622776601683795,5.623413251903491,275,11.69715014887282
bvir_j0_mA,5.623413251903491,10.0,242,10.293492131008081
bvir_j0_mA,10.0,17.78279410038923,138,5.869842620161633
bvir_j0_mA,17.78279410038923,31.622776601683793,89,3.7856231390897492
bvir_j0_mA,31.622776601683793,56.23413251903491,33,1.4036580178647384
bvir_j0_mA,56.23413251903491,100.0,19,0.8081667375584858
bvir_j0_mA,100.0,177.82794100389228,7,0.2977456401531263
bvir_j0_mA,177.82794100389228,316.22776601683796,3,0.12760527435133986
bvir_j0_mA,316.22776601683796,562.341325190349,0,0.0
bvir_j0_mA,562.341325190349,1000.0,0,0.0
