window,parent_curves,parent_papers,curves,papers,derivatives,p05,p25,median,p75,p95,fraction_below_display,fraction_above_display,fraction_outside_histogram
0-25,3033,473,291,130,1753,19.851538532716628,30.580953012696334,40.189030427449254,56.66919945985927,105.36912001217962,0.0,0.007692307692307693,0.0
25-50,3033,473,740,259,4381,28.74848296290824,49.43650741080083,64.74172094814476,84.8997297418637,136.16188653696983,0.0,0.003861003861003861,0.0
50-100,3033,473,1398,393,9781,47.22727808372142,84.61561293982955,109.27546945454017,141.071060354682,234.78835718989686,0.0006361323155216285,0.015988125530110264,0.0006361323155216285
100-150,3033,473,1435,399,8637,64.8417149823393,114.15564637660114,158.588124150158,210.72119275528277,312.2436191200141,0.0,0.030750749053083837,0.0
150-200,3033,473,1317,391,7169,69.1100526576943,123.40964602112679,184.19129303156157,259.57996669323916,376.80350314307304,0.0,0.03946858058111255,0.00042625745950554135
200-300,3033,473,1262,382,9521,81.58039034195646,131.2271747509749,198.6120672448597,312.432693268161,516.8743501487922,0.0,0.1295583924510626,0.0011780104712041887
300-400,3033,473,775,291,5061,106.01137918944349,157.841201351923,236.0731089132331,371.11611504718536,691.4693611655058,0.001718213058419244,0.2187895151812677,0.001718213058419244
400-500,3033,473,410,182,2175,125.87055342850796,211.91065815955255,302.6470404880886,450.74587658290386,845.8637103416775,0.0,0.3085700014271443,0.0
