model,curves,papers,R2_ge_099_count,R2_ge_099_percent,R2_p05,R2_p25,R2_median,R2_p75,R2_p95,rmse_p05,rmse_p25,rmse_median,rmse_p75,rmse_p95
BV,3033,473,806,26.574348829541705,0.9048673553552748,0.9608068421676234,0.9793271459484918,0.9905986122488062,0.9976550460418948,1.206442666159221,3.3300903992613233,6.673889206455763,13.139142444796013,31.733598127226422
BVjR,3033,473,2351,77.51401252884932,0.9349025795513652,0.9914703619605205,0.9975246422468523,0.9991207838332278,0.9997717170784073,0.5357431277684294,1.3209962860244127,2.33576072946987,4.717166732480008,17.64045562704001
