curve_uid,bv_fit_ok,bv_log_j0,bv_j0_mA,bv_alpha,bv_b_tafel_mV_dec,bv_r_mV_per_mA,bv_e_offset_mV,bv_sse_mV2,bv_rmse_mV,bv_r2,bv_at_alpha_low,bv_at_alpha_high,bv_at_r_upper_bound,bvir_fit_ok,bvir_log_j0,bvir_j0_mA,bvir_alpha,bvir_b_tafel_mV_dec,bvir_r_mV_per_mA,bvir_e_offset_mV,bvir_sse_mV2,bvir_rmse_mV,bvir_r2,bvir_at_alpha_low,bvir_at_alpha_high,bvir_at_r_upper_bound
batch0/case10/figure_4__panel_a/curve_1,True,-2.226056059002102,0.10795335330500626,0.9899999999999999,29.88384329186393,0.0,0.0,1538.0496454784786,6.629047864143039,0.7357711447241251,False,True,False,True,-2.2260560624033077,0.10795335293783472,0.9899999999999999,29.88384329186393,9.753907391968948e-22,0.0,1538.0496454784784,6.629047864143039,0.7357711447241251,False,True,False
batch0/case10/figure_4__panel_a/curve_2,True,1.0121705129713514,2.751566849752856,0.9899999999999999,29.88384329186393,0.0,0.0,458.75352592687796,4.0477221368800125,0.8299541292755257,False,True,False,True,1.0121704995102256,2.7515668127136688,0.9899999999999999,29.88384329186393,6.944953219388811e-17,0.0,458.75352592687796,4.0477221368800125,0.8299541292755257,False,True,False
batch0/case10/figure_4__panel_a/curve_3,True,-1.314050745728132,0.26872929463465556,0.9899999999999999,29.88384329186393,0.0,0.0,1308.9838771935224,6.395760014439064,0.7579413133061587,False,True,False,True,-1.3140507492441815,0.2687292936897901,0.9899999999999999,29.88384329186393,2.3283306610422513e-22,0.0,1308.9838771935224,6.395760014439064,0.7579413133061587,False,True,False
batch0/case10/figure_4__panel_a/curve_4,True,2.7523060696494603,15.678746508228512,0.9899999999999999,29.88384329186393,0.0,0.0,52.5219742387364,1.581469693772467,0.9512961004469951,False,True,False,True,2.752306072184698,15.678746547977862,0.9899999999999999,29.88384329186393,7.179419642890119e-20,0.0,52.5219742387364,1.581469693772467,0.9512961004469951,False,True,False
batch0/case10/figure_4__panel_b/curve_1,True,1.0136770533724813,2.7557153205131835,0.33182769747738455,89.15773181038219,0.0,0.0,1435.6069011136171,5.412771935221997,0.9833434676135593,False,False,False,True,0.31866277496571505,1.375287465335256,0.5635685601171125,52.49583981902285,0.5270408276308889,0.0,28.681820587148746,0.7650773015119126,0.9996672211082704,False,False,False
batch0/case10/figure_4__panel_b/curve_2,True,1.7026242479907125,5.488331252325093,0.4130866779435897,71.61936329252757,0.0,0.0,235.78928913655818,2.803505479077686,0.9880711245358412,False,False,False,True,1.2564768779397126,3.513022850930926,0.6954655812868323,42.53985481812576,0.33435228431811487,0.0,16.56936437424421,0.7431770622187825,0.999161735103132,False,False,False
batch0/case10/figure_4__panel_b/curve_3,True,1.4426580695591702,4.231929643598263,0.4236247345223018,69.8377654749236,0.0,0.0,336.6047315142927,3.1011736557738114,0.9892792015307159,False,False,False,True,0.9198291072105107,2.5088616069409273,0.705823889723349,41.915561784882726,0.3507309694951345,0.0,7.9133809423608135,0.4754961601876151,0.9997479602799638,False,False,False
batch0/case10/figure_4__panel_b/curve_4,True,2.084368982561343,8.039516805458856,0.600136148431456,49.29715521431269,0.0,0.0,88.61959687625927,1.8827596434623222,0.9878889561729776,False,False,False,True,1.7911348478985296,5.996253442234605,0.9899999999999999,29.88384329186393,0.19432521657694682,0.0,27.482208485019264,1.0484695223995644,0.9962441915427557,False,True,False
batch0/case10/figure_4__panel_c/curve_1,True,2.085835239825252,8.051313451718835,0.05554562769097767,532.625268428658,0.0,0.0,10828.018705277433,16.25109280023619,0.9871939075083583,False,False,False,True,2.032141791624259,7.630411621584462,0.09289119570662381,318.49094668113594,3.4913635477927785,0.0,4829.7813108421615,10.853549841728373,0.994287909185925,False,False,False
batch0/case10/figure_4__panel_c/curve_2,True,2.555985366710786,12.8839888584606,0.09683873914117501,305.50795189325214,0.0,0.0,7129.670788638778,15.416085526313932,0.9449528868224921,False,False,False,True,3.807734370633421,45.04826049897154,0.061013192546035835,484.8952107631924,2.8698014110779466,0.0,205.59144276273545,2.617832708958153,0.9984126594686361,False,False,False
batch0/case10/figure_4__panel_c/curve_3,True,2.1216280304152115,8.344711879674243,0.0844726097472334,350.23192662653867,0.0,0.0,15140.728150713165,20.507944362228375,0.9553175962517336,False,False,False,True,1.536250196091332,4.647131725675455,0.9899999999999999,29.88384329186393,5.011659523380457,0.0,235.2143406957431,2.5561165243378214,0.9993058496240252,False,True,False
batch0/case10/figure_4__panel_c/curve_4,True,2.295601514580705,9.930407501040742,0.23151616749391582,127.78807276914158,0.0,0.0,1138.9915968612158,6.618713554010837,0.9580702919786155,False,False,False,True,2.15400042904468,8.619270299348527,0.9899999999999999,29.88384329186393,1.3086817303706118,0.0,296.3000071642242,3.3758190297616566,0.9890923051395928,False,True,False
batch0/case11/figure_9__panel_a/curve_3,True,1.13865547572789,3.1225671741604404,0.09110553142520357,324.73335478246105,0.0,0.0,11779.39848656107,16.179135045250973,0.96595465330599,False,False,False,True,0.5923886226315012,1.8083026133981046,0.9899999999999999,29.88384329186393,12.38950424363961,0.0,84.6218420083696,1.3713079077886807,0.9997554221506006,False,True,False
batch0/case11/figure_9__panel_a/curve_4,True,1.7434436221287504,5.716996740435749,0.12847910386346886,230.2709465531799,0.0,0.0,3573.5925590000693,10.406280969013988,0.9705347227958965,False,False,False,True,1.1060206986592338,3.022307760461947,0.9899999999999999,29.88384329186393,4.429010494664214,0.0,9.167664258731623,0.5270749546699712,0.9999244100259786,False,True,False
batch0/case12/figure_3__panel_a/curve_1,True,1.9646538857947788,7.132443522872255,0.21910444886414418,135.02694724966304,0.0,0.0,78.76789500747894,2.0918877042236668,0.9951821207479526,False,False,False,True,2.0135092307267066,7.489553857937623,0.2676018543417272,110.55605325202747,0.5722444149076803,0.0,56.77818730653105,1.7760472232606106,0.9965271326526243,False,False,False
batch0/case12/figure_3__panel_a/curve_2,True,1.9694839605801095,7.166977091210816,0.19600207163631175,150.94230694582265,0.0,0.0,316.2727873418983,2.8849554741702153,0.9931375349886659,False,False,False,True,2.088637084700252,8.073903615339274,0.2432911284592001,121.60330319609945,0.7995775112109206,0.0,198.59332756205222,2.286075282881422,0.9956909357477988,False,False,False
batch0/case12/figure_3__panel_a/curve_3,True,1.8371245656762611,6.278458984133634,0.14365754073456893,205.94118977442665,0.0,0.0,303.90573924437155,3.9993798153711912,0.994525718102469,False,False,False,True,1.8715335786687113,6.498254345936572,0.1711046250935644,172.90593309659192,0.8313724238385511,0.0,210.75002806217293,3.3304814577046313,0.9962037404545453,False,False,False
batch0/case12/figure_4__panel_a/curve_1,True,1.6954798287661903,5.449260049732482,0.2512671059006865,117.74324678471355,0.0,0.0,105.8941105318909,2.4958095531120454,0.991552175305902,False,False,False,True,1.9701794028292927,7.1719630433989225,0.5435039822952475,54.43383272741842,1.865977613009897,0.0,17.564707890838235,1.0164733696589294,0.998598755187427,False,False,False
batch0/case12/figure_4__panel_a/curve_2,True,0.7432432390773961,2.1027441695386018,0.21400734488544068,138.24294149708882,0.0,0.0,699.7666161784532,5.772540153002106,0.9868534067668989,False,False,False,True,0.38750306478169183,1.4732974689472056,0.37837449844581095,78.18974317895875,2.2584200715785134,0.0,76.00394587760735,1.9024288470219597,0.9985721054170599,False,False,False
batch0/case12/figure_4__panel_a/curve_3,True,0.5238891278128619,1.6885820073191997,0.2037847166583033,145.17774121673727,0.0,0.0,1322.5659451024876,6.061183293674062,0.9889194947987053,False,False,False,True,0.20051410119545182,1.2220308442143302,0.3209892831160459,92.16820129240746,2.1587758648225375,0.0,186.54941649592382,2.2763849050628244,0.9984370822585928,False,False,False
batch0/case13/figure_2__panel_a/curve_1,True,1.0887931255394212,2.9706866623584407,0.16189758731628465,182.73901019381927,0.0,0.0,868.6715966476104,6.016198954515808,0.9881560127816635,False,False,False,True,1.0887931182995656,2.970686640851098,0.16189758775721588,182.739009696126,2.0751614400106679e-22,0.0,868.6715966476098,6.016198954515806,0.9881560127816635,False,False,False
batch0/case13/figure_2__panel_a/curve_2,True,1.4911934739824075,4.442394238375959,0.16230257837390147,182.28302443100685,0.0,0.0,1626.4892306891106,7.621607513906739,0.9856595619063857,False,False,False,True,1.0871612250818725,2.965842750900551,0.24757019376857414,119.5014812106219,0.771921254472309,0.0,475.4366280822586,4.120664943230204,0.9958081680445178,False,False,False
batch0/case13/figure_2__panel_a/curve_3,True,0.718322143588251,2.0509890569146068,0.1693718968434293,174.67481565902426,0.0,0.0,2086.407155141804,8.074665540948516,0.9887108800959946,False,False,False,True,0.7183221418836401,2.0509890534184683,0.1693718969557896,174.67481554314602,8.862908443365407e-21,0.0,2086.4071551418065,8.07466554094852,0.9887108800959946,False,False,False
batch0/case13/figure_2__panel_a/curve_4,True,0.7586374760430434,2.135364751843118,0.15559244608765005,190.1442235973277,0.0,0.0,6388.528316645845,15.675223365658995,0.9440227941082853,False,False,False,True,0.7586374799041498,2.135364760087988,0.15559244585921825,190.14422387648642,1.0001553156550976e-15,0.0,6388.528316645846,15.675223365658997,0.9440227941082853,False,False,False
batch0/case13/figure_2__panel_a/curve_5,True,0.7672120636705649,2.1537533486758527,0.17528187366367642,168.78530700619828,0.0,0.0,4023.885096320833,12.440450610687504,0.9619122560873111,False,False,False,True,0.3009953820995144,1.3512031018021484,0.23318005617003293,126.87622322799403,0.5352290158924394,0.0,3471.9977890018245,11.555880602536103,0.9671360986987836,False,False,False
batch0/case13/figure_3__panel_a/curve_1,True,-0.0002179422048777341,0.9997820815427994,0.42463024626616375,69.67239173160789,0.0,0.0,3540.307802648327,11.244534867227609,0.8478349539878309,False,False,False,True,-0.00021790078088919346,0.9997821229577617,0.4246302414597964,69.67239252022601,2.4619107973743866e-23,0.0,3540.307802648326,11.244534867227607,0.8478349539878309,False,False,False
