cycle,px,py,Zreal_ohm,minus_Zimag_ohm
1,761.5,575.0,44.43732845379686,7.340036563071267
1,759.5,577.0,44.25434583714544,7.1572212065813225
1,758.0,579.0,44.11710887465688,6.974405850091378
1,755.5,581.0,43.888380603842606,6.791590493601432
1,755.0,583.0,43.84263494967975,6.608775137111487
1,754.5,585.0,43.7968892955169,6.425959780621542
1,752.5,587.0,43.613906678865476,6.243144424131597
1,751.0,589.0,43.47666971637692,6.060329067641653
1,749.5,591.0,43.33943275388835,5.877513711151708
1,747.5,593.0,43.15645013723693,5.694698354661762
1,747.0,595.0,43.11070448307408,5.511882998171817
1,747.0,597.0,43.11070448307408,5.329067641681872
1,744.5,599.0,42.88197621225981,5.1462522851919275
1,743.5,601.0,42.7904849039341,4.963436928701983
1,741.5,603.0,42.60750228728268,4.780621572212037
1,742.0,605.0,42.653247941445535,4.597806215722092
1,740.5,607.0,42.51601097895697,4.414990859232147
1,739.5,609.0,42.42451967063126,4.232175502742202
1,737.5,611.0,42.24153705397984,4.0493601462522575
1,737.0,613.0,42.19579139981699,3.866544789762312
1,736.5,615.0,42.15004574565413,3.683729433272367
1,735.5,617.0,42.058554437328425,3.500914076782422
1,734.0,619.0,41.92131747483986,3.318098720292477
1,734.5,621.0,41.96706312900272,3.135283363802532
1,732.0,623.0,41.738334858188445,2.952468007312587
1,732.0,625.0,41.738334858188445,2.7696526508226422
1,732.0,627.0,41.738334858188445,2.586837294332697
1,730.0,629.0,41.55535224153702,2.404021937842752
1,729.0,631.0,41.463860933211315,2.221206581352807
1,728.5,633.0,41.41811527904846,2.038391224862862
1,728.0,635.0,41.37236962488561,1.8555758683729169
1,727.5,637.0,41.32662397072275,1.672760511882972
1,727.0,639.0,41.2808783165599,1.489945155393027
1,727.0,641.0,41.2808783165599,1.307129798903082
2,797.5,575.0,47.73101555352239,7.340036563071267
2,796.0,577.0,47.593778591033825,7.1572212065813225
2,794.5,579.0,47.45654162854526,6.974405850091378
2,793.5,581.0,47.36505032021955,6.791590493601432
2,791.0,583.0,47.13632204940528,6.608775137111487
2,791.0,585.0,47.13632204940528,6.425959780621542
2,788.5,587.0,46.90759377859101,6.243144424131597
2,787.5,589.0,46.8161024702653,6.060329067641653
2,786.5,591.0,46.72461116193959,5.877513711151708
2,784.0,593.0,46.49588289112532,5.694698354661762
2,783.0,595.0,46.404391582799605,5.511882998171817
2,783.5,597.0,46.45013723696246,5.329067641681872
2,781.5,599.0,46.26715462031105,5.1462522851919275
2,780.5,601.0,46.17566331198533,4.963436928701983
2,779.0,603.0,46.038426349496774,4.780621572212037
2,778.5,605.0,45.99268069533392,4.597806215722092
2,778.5,607.0,45.99268069533392,4.414990859232147
2,776.5,609.0,45.8096980786825,4.232175502742202
2,775.5,611.0,45.71820677035679,4.0493601462522575
2,775.0,613.0,45.67246111619394,3.866544789762312
2,774.5,615.0,45.62671546203108,3.683729433272367
2,773.5,617.0,45.53522415370537,3.500914076782422
2,772.0,619.0,45.39798719121681,3.318098720292477
2,772.0,621.0,45.39798719121681,3.135283363802532
2,769.5,623.0,45.169258920402534,2.952468007312587
2,769.0,625.0,45.12351326623968,2.7696526508226422
2,768.0,627.0,45.03202195791397,2.586837294332697
2,767.0,629.0,44.94053064958826,2.404021937842752
2,766.5,631.0,44.894784995425404,2.221206581352807
2,765.5,633.0,44.803293687099696,2.038391224862862
2,765.0,635.0,44.757548032936846,1.8555758683729169
2,764.5,637.0,44.71180237877399,1.672760511882972
2,764.0,639.0,44.66605672461113,1.489945155393027
3,819.5,575.0,49.74382433668799,7.340036563071267
3,818.0,577.0,49.60658737419943,7.1572212065813225
3,816.5,579.0,49.46935041171086,6.974405850091378
3,815.5,581.0,49.377859103385155,6.791590493601432
3,813.0,583.0,49.14913083257088,6.608775137111487
3,813.0,585.0,49.14913083257088,6.425959780621542
3,810.5,587.0,48.92040256175661,6.243144424131597
3,809.5,589.0,48.828911253430896,6.060329067641653
3,808.5,591.0,48.73741994510519,5.877513711151708
3,806.0,593.0,48.508691674290915,5.694698354661762
3,806.0,595.0,48.508691674290915,5.511882998171817
3,805.5,597.0,48.462946020128065,5.329067641681872
3,803.5,599.0,48.27996340347664,5.1462522851919275
3,802.5,601.0,48.188472095150935,4.963436928701983
3,800.0,603.0,47.95974382433666,4.780621572212037
3,800.0,605.0,47.95974382433666,4.597806215722092
3,798.5,607.0,47.8225068618481,4.414990859232147
3,798.0,609.0,47.77676120768525,4.232175502742202
3,796.0,611.0,47.593778591033825,4.0493601462522575
3,796.0,613.0,47.593778591033825,3.866544789762312
3,796.0,615.0,47.593778591033825,3.683729433272367
3,794.0,617.0,47.41079597438241,3.500914076782422
3,793.0,619.0,47.319304666056695,3.318098720292477
3,793.0,621.0,47.319304666056695,3.135283363802532
3,791.0,623.0,47.13632204940528,2.952468007312587
3,791.0,625.0,47.13632204940528,2.7696526508226422
3,788.5,627.0,46.90759377859101,2.586837294332697
3,788.0,629.0,46.86184812442815,2.404021937842752
