x_pixel,y_pixel,eta_mV,theta_1
265,295.0,49.99999999999994,0.13904761904761864
264,294.0,50.82644628099169,0.14285714285714235
263,293.0,51.652892561983435,0.14666666666666628
262,292.0,52.47933884297515,0.15047619047618999
261,291.0,53.3057851239669,0.15428571428571392
260,290.0,54.13223140495862,0.15809523809523762
259,289.5,54.95867768595036,0.1599999999999997
258,288.0,55.78512396694211,0.16571428571428526
257,287.0,56.61157024793383,0.1695238095238092
256,286.0,57.43801652892557,0.1733333333333329
255,285.5,58.26446280991732,0.17523809523809475
254,284.5,59.09090909090904,0.17904761904761868
253,283.0,59.91735537190078,0.18476190476190446
252,282.0,60.74380165289253,0.18857142857142817
251,281.0,61.57024793388425,0.19238095238095188
250,280.0,62.39669421487599,0.1961904761904758
249,278.5,63.22314049586771,0.2019047619047616
248,278.0,64.04958677685946,0.20380952380952344
247,277.0,64.8760330578512,0.20761904761904715
246,275.5,65.70247933884292,0.21333333333333293
245,274.5,66.52892561983467,0.21714285714285664
244,273.5,67.35537190082641,0.22095238095238057
243,272.0,68.18181818181813,0.22666666666666635
242,271.0,69.00826446280988,0.23047619047619006
241,269.5,69.83471074380162,0.23619047619047584
240,268.5,70.66115702479334,0.23999999999999955
239,267.5,71.48760330578509,0.24380952380952348
238,266.5,72.31404958677683,0.24761904761904718
237,265.0,73.14049586776855,0.25333333333333297
236,264.0,73.9669421487603,0.2571428571428567
235,262.5,74.79338842975201,0.26285714285714246
234,261.5,75.61983471074376,0.2666666666666663
233,260.5,76.4462809917355,0.2704761904761901
232,259.0,77.27272727272722,0.27619047619047576
231,258.0,78.09917355371897,0.2799999999999996
230,256.5,78.92561983471072,0.28571428571428537
229,255.5,79.75206611570243,0.2895238095238091
228,254.5,80.57851239669418,0.2933333333333329
227,253.5,81.40495867768593,0.2971428571428567
226,251.5,82.23140495867764,0.30476190476190435
225,250.5,83.05785123966939,0.30857142857142816
224,249.5,83.88429752066111,0.312380952380952
223,248.5,84.71074380165285,0.3161904761904758
222,247.0,85.5371900826446,0.32190476190476147
221,246.0,86.36363636363632,0.3257142857142853
220,244.5,87.19008264462806,0.3314285714285711
219,243.5,88.01652892561981,0.3352380952380949
218,242.5,88.84297520661153,0.3390476190476186
217,241.0,89.66942148760327,0.3447619047619044
216,240.5,90.49586776859502,0.34666666666666623
215,238.5,91.32231404958674,0.35428571428571387
214,237.5,92.14876033057848,0.3580952380952377
213,236.5,92.97520661157023,0.3619047619047615
212,235.5,93.80165289256195,0.3657142857142853
211,234.5,94.6280991735537,0.36952380952380914
210,232.5,95.45454545454541,0.3771428571428568
209,231.5,96.28099173553716,0.3809523809523806
208,230.5,97.1074380165289,0.3847619047619044
207,229.5,97.93388429752062,0.3885714285714281
206,228.5,98.76033057851237,0.39238095238095194
205,227.0,99.58677685950411,0.3980952380952377
204,226.0,100.41322314049583,0.40190476190476154
203,225.0,101.23966942148758,0.40571428571428536
202,224.0,102.06611570247932,0.4095238095238092
201,222.5,102.89256198347104,0.41523809523809485
200,221.5,103.71900826446279,0.41904761904761867
