curve_uid,paper_key,native_index,j,eta_mV
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,18,51.58550396375991,35.38461538461539
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,19,57.13476783691959,36.56804733727812
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,20,62.684031710079275,37.75147928994083
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,21,69.02604756511892,38.934911242603555
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,22,74.97168742921858,40.11834319526628
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,23,80.52095130237826,41.301775147929
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,24,86.8629671574179,42.48520710059172
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,25,92.80860702151756,43.668639053254445
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,26,95.97961494903738,44.85207100591717
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,27,99.1506228765572,46.03550295857989
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,0,0.45300113250282975,24.142011834319536
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,1,0.849377123442807,31.242603550295865
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,2,1.2457531143827845,35.97633136094675
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,3,1.6421291053227618,38.3431952662722
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,4,2.4348810872027165,40.71005917159764
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,5,3.227633069082671,43.07692307692308
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,6,4.81313703284258,45.443786982248525
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,7,6.398640996602491,47.21893491124261
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,8,7.9841449603624,48.40236686390533
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,9,9.56964892412231,49.58579881656806
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,10,11.947904869762173,50.769230769230774
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,11,15.118912797281993,51.9526627218935
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,12,18.28992072480181,53.13609467455622
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,13,21.46092865232163,54.31952662721894
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,14,25.424688561721403,55.502958579881664
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,15,29.38844847112118,56.68639053254439
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,16,33.74858437146093,57.8698224852071
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,17,37.315968289920725,59.05325443786983
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,18,43.26160815402039,60.23668639053255
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,19,46.82899207248018,61.42011834319527
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,20,51.58550396375991,62.603550295858
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,21,54.75651189127973,63.78698224852071
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,22,57.53114382785957,64.97041420118343
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,23,61.09852774631937,66.15384615384616
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,24,67.04416761041902,67.33727810650889
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,25,72.59343148357871,68.5207100591716
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,26,78.1426953567384,69.70414201183432
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,27,83.2955832389581,70.88757396449705
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,28,86.07021517553794,72.07100591715977
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,29,92.80860702151756,73.2544378698225
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,30,94.39411098527746,74.43786982248521
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,31,98.35787089467725,75.62130177514793
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,0,2.4348810872027165,2.8402366863905395
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,1,3.227633069082671,4.023668639053261
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,2,4.020385050962626,5.2071005917159825
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,3,5.209513023782558,6.390532544378705
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,4,7.191392978482445,7.573964497041427
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,5,9.173272933182332,8.75739644970415
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,6,12.34428086070215,9.940828402366872
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,7,16.7044167610419,11.124260355029593
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,8,21.46092865232163,12.307692307692315
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,9,27.010192525481315,13.491124260355036
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,10,33.35220838052095,14.674556213017757
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,11,40.09060022650057,15.85798816568048
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,12,46.82899207248018,17.0414201183432
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,13,55.15288788221971,18.224852071005923
