condition,family,source_family,Q_mV,b_BV_mV_dec,DeltaG_eff_meV,kT_over_kV,acid_reference_kT_over_kV,log10_relative_TV
acid,A1,A1,0.3981071705534973,29.878459437783764,69.78916958371794,2.2595462971415303,2.2595462971415303,0.0
acid,A2,A2,0.7943282347242822,29.878459437783764,60.96403905949374,2.2595462971415303,2.2595462971415303,0.0
acid,A3,A3,1.7782794100389228,29.878459437783764,50.39050920624844,2.2595462971415303,2.2595462971415303,0.0
acid,A4,A4,5.623413251903491,34.799617462830504,34.834630586144606,2.2595462971415303,2.2595462971415303,0.0
KOH,B1,K1,0.5623413251903491,30.18334167694482,68.90517772020702,5.104481840893349,2.2595462971415303,0.3539304188916639
KOH,B2,K2,7.943282347242821,33.61326686750673,27.15049910587364,3.166236120828171,2.2595462971415303,0.1465220548088358
KOH,B3,K3,2.2387211385683425,40.5201025252136,51.74580297243154,5.392774716303096,2.2595462971415303,0.37779103370479244
KOH,B4,K4,0.707945784384138,50.13504210746768,74.96885086941101,12.829727491680606,2.2595462971415303,0.7541961876245773
KOH,B5,K5,3.5481338923357533,92.43648388564353,22.127907410444127,9.8078181999031,2.2595462971415303,0.6375511627937005
