condition,eta_mV,n_families,all_families_supported,n_families_supported,common_support_min_mV,common_support_max_mV,X_V_mean,X_V_sd,X_H_mean,X_H_sd,X_T_mean,X_T_sd
KOH,1.0,5,False,0,8.316005280431742,287.7625514822272,0.3679790899024482,0.3119974796494239,0.0103098155848524,0.0052582789594186,0.6217110943885551,0.3078869455895821
KOH,1.5,5,False,2,8.316005280431742,287.7625514822272,0.370193734936608,0.3112989052118292,0.0102446842026537,0.0052027513565629,0.6195615807576438,0.3072342871290376
KOH,2.0,5,False,2,8.316005280431742,287.7625514822272,0.3724195594167145,0.3105770487377846,0.0101804619597522,0.0051478352159552,0.6173999785167084,0.3065579299089059
KOH,2.5,5,False,2,8.316005280431742,287.7625514822272,0.3746563968389348,0.3098318914323713,0.0101171432441926,0.0050935279911903,0.6152264598043189,0.305857856799909
KOH,3.0,5,False,2,8.316005280431742,287.7625514822272,0.3769040706040005,0.3090634240873214,0.0100547225069468,0.0050398272210933,0.6130412067769431,0.305134060213967
KOH,3.5,5,False,3,8.316005280431742,287.7625514822272,0.379162393936383,0.3082716473537435,0.0099931942514785,0.0049867304647928,0.6108444117088663,0.3043865423694395
KOH,4.0,5,False,3,8.316005280431742,287.7625514822272,0.3814311697520001,0.3074565720069931,0.0099325530739324,0.0049342354619831,0.6086362770759912,0.303615315505645
KOH,4.5,5,False,3,8.316005280431742,287.7625514822272,0.383710190637343,0.3066182191169205,0.0098727936236553,0.0048823399252736,0.6064170156339088,0.3028204021500516
KOH,5.0,5,False,4,8.316005280431742,287.7625514822272,0.3859992387289068,0.305756620354828,0.009813910617673,0.0048310416880831,0.604186850547439,0.3020018353856378
KOH,5.5,5,False,4,8.316005280431742,287.7625514822272,0.3882980857053741,0.3048718181692553,0.0097558988280343,0.0047803386492179,0.6019460153643852,0.3011596590170978
KOH,6.0,5,False,4,8.316005280431742,287.7625514822272,0.3906064926742836,0.3039638660757848,0.009698753111098,0.0047302287897073,0.5996947541183184,0.3002939278430544
KOH,6.5,5,False,4,8.316005280431742,287.7625514822272,0.3929242102032714,0.3030328288195798,0.0096424683643014,0.0046807101401667,0.5974333213319971,0.2994047078488674
KOH,7.0,5,False,4,8.316005280431742,287.7625514822272,0.3952509782785718,0.3020787825971021,0.009587039557024,0.0046317808186322,0.5951619820617093,0.2984920764369468
KOH,7.5,5,False,4,8.316005280431742,287.7625514822272,0.3975865263039058,0.3011018152608668,0.0095324617143121,0.0045834390105034,0.5928810118808414,0.2975561226089053
KOH,8.0,5,False,4,8.316005280431742,287.7625514822272,0.3999305730885361,0.300102026526236,0.0094787299279363,0.0045356829761299,0.5905906968786789,0.296596947157848
KOH,8.5,5,True,5,8.316005280431742,287.7625514822272,0.4022828269093059,0.2990795281144192,0.0094258393456003,0.0044885110401978,0.5882913336435758,0.2956146628572901
KOH,9.0,5,True,5,8.316005280431742,287.7625514822272,0.4046429855161015,0.2980344439497257,0.0093737851707409,0.0044419215995413,0.5859832292117062,0.2946093946149702
KOH,9.5,5,True,5,8.316005280431742,287.7625514822272,0.4070107362115438,0.2969669102914488,0.0093225626572434,0.0043959131103633,0.5836667010287844,0.2935812796364989
KOH,10.0,5,True,5,8.316005280431742,287.7625514822272,0.409385755900038,0.2958770758970527,0.0092721671284712,0.0043504841039446,0.5813420768709499,0.2925304675665465
