condition,family,pair,eta_mV,control,within_fitted_support,dominant_control_crossing
acid,A4,X_T=X_V,35.45775820758499,0.48435347495378445,True,True
acid,A4,X_T=X_V,88.36325048234987,0.4757628793781966,True,True
KOH,mean,X_T=X_V,27.94598406152738,0.49601216122066794,True,True
KOH,mean,X_T=X_V,147.0378968711137,0.48926923070796785,True,True
KOH,B1,X_T=X_V,73.39663239503903,0.49469632514037415,True,True
KOH,B1,X_T=X_V,125.40057854875008,0.4912827271802458,True,True
KOH,B2,X_T=X_V,112.46537704574196,0.48985051557694576,True,True
KOH,B3,X_T=X_V,35.68153789082973,0.49622361379728114,True,True
KOH,B3,X_T=X_V,135.84729945475397,0.4905739827638574,True,True
KOH,B4,X_T=X_V,49.44613523145123,0.4973148228638745,True,True
KOH,B4,X_T=X_V,182.0332186630312,0.4904798439192107,True,True
KOH,B5,X_T=X_V,175.26271758838237,0.48925657272873346,True,True
