group,metric,n,n_nonzero,mean,median,p10,p25,p75,p90
Non-PM,R_eff,610,593,1.1755597488175258,0.7579457677445081,0.12439548274081075,0.29406542488338383,1.4560606242900063,2.5861327066022075
Non-PM,D_R_mV,610,594,117.14940600828297,87.50725806272379,26.37225554960179,50.31168162373207,153.53985352551882,248.82115690951488
Non-PM,E_offset,610,610,-42.820274181815996,-0.26805352283096634,-199.99999977597648,-199.99892669399185,71.93135548667664,159.79836057938198
PM,R_eff,1081,1058,1.1523327150925113,0.7295143349251416,0.1493099363705061,0.3446582868341766,1.3884093750638868,2.408020170411904
PM,D_R_mV,1081,1058,115.52941183391029,84.7624424907024,24.383824330260268,48.95767002621123,155.98810838153662,237.93625023195924
PM,E_offset,1081,1081,-27.18284387616741,1.7727387130853005,-199.999999596148,-15.789101780602069,15.1207062362785,33.19601227912942
