group,metric,n,n_nonzero,mean,median,p10,p25,p75,p90
Non-PM,strict_bv_tafel_mV_dec,610,610,108.70713443802063,85.55340800850381,40.72219202404324,59.58319642252105,113.51291395450059,152.09695288710492
Non-PM,strict_bv_log10_intercept_mV,610,610,24.824573030541845,38.822056639712414,-49.02317773195982,-9.336757664346088,112.55558053731214,189.47713793780767
Non-PM,bvir_offset_log_j0,610,610,-3.2430642617440735,-1.0693967335279877,-11.338655595125378,-6.625635061176611,0.9450895026176224,2.229934454888051
Non-PM,bvir_offset_alpha,610,610,0.40717960802595615,0.34580973061549947,0.19451603687953195,0.26063118984801215,0.4965328421516601,0.7265098176494641
Non-PM,bvir_offset_r2,610,610,0.9981451163982724,0.9991044373215916,0.9946614463669361,0.997620598983396,0.9996456223336527,0.9998334996228587
Non-PM,bvir_offset_rmse_mV,610,610,2.7669895148970842,1.958081007285013,0.7262101197734836,1.1444187425035148,3.4478125327505884,5.940361393848978
PM,strict_bv_tafel_mV_dec,1081,1081,149.0657415638302,50.8872010824288,29.88384329186393,29.88384329186393,92.74773715826151,166.6000451192422
PM,strict_bv_log10_intercept_mV,1081,1081,-215.14213489542993,-24.569964203957824,-146.0334835462458,-64.65859278602777,-6.903492121591438,13.515259949469003
PM,bvir_offset_log_j0,1081,1081,-0.22500114209740407,1.3811534411238948,-8.819685873915237,-0.3115689245236309,2.496543696498324,3.73264771126312
PM,bvir_offset_alpha,1081,1081,0.6033516225803506,0.5813840067765271,0.1775810134851412,0.3189835759384885,0.99,0.99
PM,bvir_offset_r2,1081,1081,0.9983067999533605,0.9991263919364936,0.9953621935697564,0.9978700871519643,0.999663502951724,0.9998551706300034
PM,bvir_offset_rmse_mV,1081,1081,1.8933640338607678,1.3505243491089554,0.4642277717244034,0.8074494670569873,2.310327220578884,3.852866713780368
