pgm_class,n_total,R_nonzero_n,R_nonzero_percent,R_nonzero_median_ohm_cm2,D_nonzero_median_mV,E_nonzero_n,E_nonzero_percent,E_nonzero_signed_median_mV,E_positive_percent_total,E_negative_percent_total,R_only_n,R_only_percent,E_only_n,E_only_percent,R_and_E_n,R_and_E_percent
PGM,705,305,43.262411347517734,0.1296795533631601,17.5,507,71.91489361702128,10.0,59.00709219858156,12.907801418439716,198,28.085106382978726,400,56.73758865248227,107,15.177304964539006
non-PGM,577,459,79.54939341421144,0.2947842438638163,35.0,182,31.542461005199307,15.0,24.610051993067593,6.932409012131716,395,68.4575389948007,118,20.45060658578856,64,11.091854419410744
