group,metric,n,n_nonzero,median,p75,p90,p95,p99,max
Non-PM,R_eff_ohm_cm2,610,593,0.7579457677445081,1.4560606242900063,2.5861327066022075,3.694744765826428,7.373792513901348,15.720211389558406
Non-PM,D_R_mV,610,593,87.50725806272379,153.53985352551882,248.82115690951488,303.8538901588499,476.58512673775914,861.7528595297739
PM,R_eff_ohm_cm2,1081,1058,0.7295143349251416,1.3884093750638868,2.408020170411904,3.3604670021757514,7.471562846565429,14.508661888227506
PM,D_R_mV,1081,1058,84.7624424907024,155.98810838153662,237.93625023195924,330.914898515969,478.8739659913792,657.8215672991948
