figure6_group,n_rows,n_cases,slope_median,slope_q025,slope_q975,intercept_median_mV,intercept_q025_mV,intercept_q975_mV,sigma_median_mV
Acidic non-PM,78,28,1.0410501581566125,0.9661846363664417,1.1157178203506666,18.303568617392443,7.942511170223407,28.53072578151996,26.83072286699769
Alkaline non-PM,130,71,1.09651446088303,1.0182853487244858,1.1744600489251407,6.56091018886235,-2.7966035087097203,15.910190551138726,34.73255006340679
Acidic PM,65,39,1.2524999448813974,1.1729620128343903,1.3317323124212863,-3.5316667417944014,-10.449600104199892,3.4308137725326,25.57313774401203
Alkaline PM,122,78,1.5011352449142343,1.3730677888658132,1.630729819818181,-24.141151167384994,-29.34789128843146,-18.96471204542048,29.03839632158042
