group,n_rows,n_cases,bv_gap_mV_mean,bv_gap_mV_median,bv_gap_mV_q25,bv_gap_mV_q75,bv_gap_mV_sem,ir_gap_mV_mean,ir_gap_mV_median,ir_gap_mV_q25,ir_gap_mV_q75,ir_gap_mV_sem,gap_widening_eta50_minus_eta10_mV_mean,gap_widening_eta50_minus_eta10_mV_median,gap_widening_eta50_minus_eta10_mV_q25,gap_widening_eta50_minus_eta10_mV_q75,gap_widening_eta50_minus_eta10_mV_sem
Acidic non-PM,62,26,20.763838344709043,19.297119580839173,9.416719317440714,27.878589076181157,2.275549556028754,-0.6499819555381627,-7.812595611905486,-16.84772866036176,7.999474031608973,3.3762840530902767,20.893826682593204,18.943424366532724,6.8749376144004515,30.690696933914616,3.1649053251194634
Alkaline non-PM,87,59,20.98808492174693,18.124516046584283,6.457355553291899,29.514242347420208,2.493934945756281,-6.61162435297841,-7.963993997612201,-24.030622952241806,4.227324641545051,3.4142438622896876,14.889548436138805,13.976681501911855,-0.8465933618134418,27.42032500142939,3.5657072916282107
Acidic PM,42,27,17.234053548023443,9.943815133778399,0.4197646963155837,31.392056728202526,3.843077426978471,-7.636126159003171,-10.197042253563133,-19.103834431779063,2.6380626705236914,3.3365559369005116,10.032366467261891,5.571580534408117,-13.49750733918515,24.98637916705139,5.249013583183348
Alkaline PM,115,72,-5.168468030158568,-1.4561243022662822,-15.820578606571967,4.962811208593811,2.4015016064214665,-21.250660069240936,-17.784963912546246,-33.67745806230855,-9.984388915249477,1.9277400696550182,-25.89215073869392,-21.458618847931824,-47.53815871602015,-6.635689154976854,3.0788862977241136
