case_rel_path,curve_label,both_better,Alloy/intermetallic/bimetallic,Explicit carbon support,Pt-containing,Ir-containing,Ru-containing,Ru + carbon support,Ru + alloy/bimetallic,Phase-controlled Ru nanocages,Ru without carbon/alloy/phase,Oxide/hydroxide interface,Other PM chalcogenide/phosphide,Ru chalcogenide/MoS2,Ru MOF/framework
batch2/case142,RuCr@C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch2/case158,Ir@NBD-C,True,False,True,False,True,False,False,False,False,False,False,False,False,False
batch2/case168,Pt/VG Ar-0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
batch2/case168,Pt/VG Ar-5,True,False,True,True,False,False,False,False,False,False,False,False,False,False
batch2/case178,Pt/Pt5P2,True,False,False,True,False,False,False,False,False,False,False,False,False,False
batch2/case187,12%Rh-Co$_2$Fe-P,False,False,False,False,False,False,False,False,False,False,False,True,False,False
batch2/case187,4%Rh-Co$_2$Fe-P,False,False,False,False,False,False,False,False,False,False,False,True,False,False
batch2/case188,Pd12Ru3/Ni(OH)2/C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch2/case202,MSOR0.5,False,False,False,False,False,True,False,False,False,True,True,False,True,False
batch2/case202,MSOR1,True,False,False,False,False,True,False,False,False,True,True,False,True,False
batch2/case202,MSOR1.5,False,False,False,False,False,True,False,False,False,True,True,False,True,False
batch2/case222,BP(Ni3Pd1),False,False,False,False,False,False,False,False,False,False,False,True,False,False
batch2/case233,Ru-Ni(OH)2 NW^2/NF,True,False,False,False,False,True,False,False,False,True,True,False,False,False
batch2/case237,PtRu MCs,True,True,True,True,False,True,True,True,False,False,False,False,False,False
batch2/case246,Ru@Cr-FeMOF,True,False,False,False,False,True,False,False,False,True,False,False,False,True
batch3/case314,Pt/OMC_SH,True,False,True,True,False,False,False,False,False,False,False,False,False,False
batch3/case315,Cu@Ru_nc-C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch3/case316,RuCu,True,True,False,False,False,True,False,True,False,False,False,False,False,False
batch3/case344,D-NiNbIr,True,True,False,False,True,False,False,False,False,False,False,False,False,False
batch3/case344,D-NiNbIrPt,True,True,False,True,True,False,False,False,False,False,False,False,False,False
batch3/case344,D-NiNbPt,True,True,False,True,False,False,False,False,False,False,False,False,False,False
batch3/case347,Pt NPs@CF,True,False,True,True,False,False,False,False,False,False,False,False,False,False
batch3/case357,PtFeCoNiCuCr@HCS Initial,True,True,True,True,False,False,False,False,False,False,False,False,False,False
batch3/case359,RuNi-MoO2,False,True,False,False,False,True,False,True,False,False,True,False,False,False
batch3/case362,Pt SACs-NiCrO3/NF,True,False,False,True,False,False,False,False,False,False,False,False,False,False
batch3/case379,Ru-Co2Ni@NCNT,False,False,True,False,False,True,True,False,False,False,False,False,False,False
batch3/case471,RuVCoCuZnW,True,True,True,False,False,True,True,True,False,False,False,False,False,False
batch3/case483,PtMn/C,True,True,True,True,False,False,False,False,False,False,False,False,False,False
batch3/case499,RuSA-CoP,True,False,True,False,False,True,True,False,False,False,True,False,False,False
batch4/case516,RuNC@CPF-Ni,False,False,False,False,False,True,False,False,False,True,False,False,False,True
batch4/case537,AE-i-Co9S8,False,False,False,False,False,False,False,False,False,False,False,True,False,False
batch4/case607,4000C,False,False,True,False,False,True,True,False,False,False,True,False,False,False
batch4/case607,7000C,False,False,True,False,False,True,True,False,False,False,True,False,False,False
batch5/case734,RuNi/C,True,True,True,False,False,True,True,True,False,False,False,False,False,False
batch5/case739,NiVRu-LDHs NAs/NF,False,False,False,False,False,True,False,False,False,True,True,False,False,False
batch5/case760,Ir1Ni@MoO2,True,False,False,False,True,False,False,False,False,False,True,False,False,False
batch5/case832,RhIn/C,True,True,True,False,False,False,False,False,False,False,False,False,False,False
batch5/case834,Pt1Co6/np-Co2P,True,False,False,True,False,False,False,False,False,False,False,False,False,False
batch5/case839,Pt/D-NiFe LDH,True,False,False,True,False,False,False,False,False,False,True,False,False,False
batch5/case839,Pt/NiFe LDH,False,False,False,True,False,False,False,False,False,False,True,False,False,False
batch5/case892,IrMo/NHCSs,True,False,True,False,True,False,False,False,False,False,False,False,False,False
batch5/case892,IrRuMoWCu/NHCSs,True,True,True,False,True,True,True,True,False,False,False,False,False,False
batch6/case1053,RuMn/CQDs-600 initial,True,True,True,False,False,True,True,True,False,False,False,False,False,False
